species	Phylum	Class	Order	Family	Genus
Niabella soli DSM 19437	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Niabella
Kaistia soli DSM 19436	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Kaistia
Acetobacter senegalensis	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
Sulfurospirillum barnesii SES-3	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Sulfurospirillum
Geothrix fermentans DSM 14018	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
Kocuria flava	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria
Fluoribacter bozemanae	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Fluoribacter
Leptospira licerasiae serovar Varillal str. VAR 010	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira
Anaeromyxobacter sp. K	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter
Capnocytophaga sp.	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
Desulfovibrio fairfieldensis	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Salegentibacter salinarum	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salegentibacter
Halomonas nitroreducens	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
candidate division TM7 single-cell isolate TM7a	Candidatus Saccharibacteria				
candidate division TM7 single-cell isolate TM7b	Candidatus Saccharibacteria				
candidate division TM7 single-cell isolate TM7c	Candidatus Saccharibacteria				
Simiduia agarivorans SA1 = DSM 21679	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Simiduia
Sporobacter termitidis DSM 10068	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Sporobacter
Exiguobacterium sp.	Firmicutes	Bacilli	Bacillales	Exiguobacterium	
Rhodococcus wratislaviensis	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
Fervidobacterium gondwanense DSM 13020	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Fervidobacterium
Halomonas andesensis	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
Thermoanaerobacter uzonensis DSM 18761	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter
Caldanaerovirga acetigignens	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldanaerovirga
Ekhidna lutea	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ekhidna
Tenacibaculum soleae	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
Legionella erythra	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Rhizobium selenitireducens ATCC BAA-1503	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
Microcystis viridis NIES-102	Cyanobacteria	Chroococcales	Microcystaceae	Microcystis	
Microcystis wesenbergii TW10	Cyanobacteria	Chroococcales	Microcystaceae	Microcystis	
Legionella hackeliae	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Halomonas cupida	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
Halomonas venusta	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
Nocardioides humi	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Lactobacillus pobuzihii E100301 = KCTC 13174	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Legionella longbeachae NSW150	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Paenibacillus contaminans	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Vogesella perlucida	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Vogesella
[Brevibacterium] frigoritolerans	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Croceicoccus marinus	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus
Microbacterium profundi	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium
Legionella adelaidensis	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella donaldsonii	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella fairfieldensis ATCC 49588	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella geestiana	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella gratiana	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella lansingensis DSM 19556 = ATCC 49751	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella londiniensis	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella nautarum	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella parisiensis	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella quateirensis	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella quinlivanii	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Nocardioides dokdonensis FR1436	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Legionella santicrucis	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Coprobacillus sp. 8_1_38FAA	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus
Veillonella sp. 6_1_27	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Legionella shakespearei DSM 23087	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Legionella worsleiensis	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Rhodococcus sp. P14	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus
Tatlockia micdadei	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Tatlockia
Rudanella lutea DSM 19387	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Rudanella
Lactococcus chungangensis CAU 28 = DSM 22330	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
Mangrovibacter plantisponsor	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Mangrovibacter
